tweet_id,text,created_at,user_id,urls,hashtags,user_mentions
869918891664977921,RT @irane_Azad: #Iran #News #Us Foreign aid arrives in as Sri Lanka flood toll exceeds 200 https://t.co/9yRvhLhNSC https://t.co/6nVBpaKa92,Wed May 31 14:10:00 +0000 2017,2830090062,https://t.co/9yRvhLhNSC,"Iran,News,Us",irane_Azad
869950122972635136,"#FloodSL They still need our help #Flood2017 #srilanka #FloodReliefLKA 
photo courtesy :Shehan Gunasekara https://t.co/SBh8rLpnhl",Wed May 31 16:14:06 +0000 2017,149810428,,"FloodSL,Flood2017,srilanka,FloodReliefLKA",
869954009963970560,"RT @IndiaToday: Death toll from Sri Lanka's worst flood since 2003 rises to 151
https://t.co/vL9JK5Vn2e https://t.co/T66G2Jidba",Wed May 31 16:29:33 +0000 2017,14123558,https://t.co/vL9JK5Vn2e,,IndiaToday
869954479524691968,"open  our  hands for them along with prayer.
  https://t.co/6biZvLkkNl https://t.co/ehvVVfziDv",Wed May 31 16:31:25 +0000 2017,846998970828275717,https://t.co/6biZvLkkNl,,
869957051547435008,#FloodSL Response: State vs. Private https://t.co/k1Dwek30kD https://t.co/zPhSej19pk,Wed May 31 16:41:38 +0000 2017,2909674567,https://t.co/k1Dwek30kD,FloodSL,
869957461993635840,https://t.co/Z4mxTO7fpp Indian Navy carries out relief operations in flood-hit Sri Lanka https://t.co/VUbcpnUwfq,Wed May 31 16:43:16 +0000 2017,148777927,https://t.co/Z4mxTO7fpp,,
869962038214131712,"Sri Lanka’s flood survivors at risk of dengue, disease – aid workers
https://t.co/2P1zVDrOoH https://t.co/0GzvMdPwvq",Wed May 31 17:01:27 +0000 2017,118568212,https://t.co/2P1zVDrOoH,,
869963334401052673,"Posted by Chathura Udeshka to SL Disaster Relief
1 hr · 
 #floodsl #lka https://t.co/Q1eqsM1vdd",Wed May 31 17:06:36 +0000 2017,860150046,,"floodsl,lka",
869967714948849664,#FloodSL 200+ deaths reported due to floods and landslides in Sri Lanka #lka #HelpSriLanka https://t.co/QnbB8kFhZQ,Wed May 31 17:24:01 +0000 2017,1262268475,,"FloodSL,lka,HelpSriLanka",
869968240956420096,"RT @RansaraJey: This guy is building a phone charger with 40 charge ports for flood victims
#FloodSL https://t.co/ggGxYm7S9d",Wed May 31 17:26:06 +0000 2017,2932504285,,FloodSL,RansaraJey
869972354004393987,"Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka.
RESPECT https://t.co/LzDAR9i17Z",Wed May 31 17:42:27 +0000 2017,3330905307,,,
869977622377320448,"RT @DisastersChart: #Sentinel2 was used to map the #flood in Matara, #SriLanka, on 28 May: https://t.co/LCo1VVKgEZ https://t.co/f9o3enK8ka",Wed May 31 18:03:23 +0000 2017,1721681954,https://t.co/LCo1VVKgEZ,"Sentinel2,flood,SriLanka",DisastersChart
869982155270750208,RT @itzJambole: Southern Expressway Godagama interchange (Nilwala Gate) ὡ4ὡ4 #FloodSL #lka https://t.co/vTXwWZz85M,Wed May 31 18:21:23 +0000 2017,727270559470501888,,"FloodSL,lka",itzJambole
869983720119390208,"RT @dmc_lk: Situation Report as at 0900hours #31May2017 #SLFloods2017 #FloodSL #lka #dmclk 629,742 people affected https://t.co/UC5K3aWb1K",Wed May 31 18:27:37 +0000 2017,125637896,,"31May2017,SLFloods2017,FloodSL,lka,dmclk",dmc_lk
869984832364756992,RT @STcom: #SriLanka appeals for help as #floods cripple water supply https://t.co/cCHq3iXVqB https://t.co/Ptbd9u6Eub,Wed May 31 18:32:02 +0000 2017,736227108,https://t.co/cCHq3iXVqB,"SriLanka,floods",STcom
